ID_Psa,Meno_Psa,Hmotnost_Kg,Datum_Narodenia_Psa,Je_Stene_Boolean,ID_Rasy
3535,17437426,,,,
4386,17446541,,,,
2665,17450114,,,,
3900,17450291,,,,
2464,17450732,,,,
3214,17452718,,,,
3341,17453030,,,,
4417,17454897,,,,
302,17461178,,,,
4369,17462928,,,,
564,17464759,,,,
2900,17465923,,,,
375,17466542,,,,
2379,17470246,,,,
3335,17472560,,,,
920,17493313,,,,
469,17493427,,,,
3370,17516303,,,,
3207,17518984,,,,
2210,17524432,,,,
855,17525264,,,,
3921,17525329,,,,
3412,17530405,,,,
2546,17534490,,,,
4455,17535649,,,,
919,17539283,,,,
939,17540303,,,,
915,17541144,,,,
3362,17542975,,,,
916,17543977,,,,
978,17546198,,,,
1281,17558471,,,,
3729,17568759,,,,
4463,17570118,,,,
665,17570129,,,,
4062,17571063,,,,
4283,17575566,,,,
2785,17578276,,,,
4178,17580298,,,,
700,17589072,,,,
2905,17592431,,,,
846,17601558,,,,
4118,17604719,,,,
3363,17605366,,,,
3344,17609205,,,,
945,17612864,,,,
1865,17613569,,,,
682,17615000,,,,
927,17615535,,,,
3329,17620256,,,,
3342,17627616,,,,
3982,17628247,,,,
4160,17633939,,,,
2848,17635700,,,,
4474,17641785,,,,
914,17648939,,,,
4411,17651809,,,,
3883,17652354,,,,
2676,17652825,,,,
2561,17655506,,,,
3599,17672679,,,,
3634,17673644,,,,
2788,17675044,,,,
721,17676406,,,,
3364,17678737,,,,
593,17680863,,,,
3660,17683299,,,,
3972,17686923,,,,
299,17688693,,,,
870,17695142,,,,
3747,17697288,,,,
2519,17697603,,,,
1761,17698777,,,,
2645,17698849,,,,
3590,17699229,,,,
4166,17704379,,,,
3168,17708866,,,,
2130,17712924,,,,
4459,17713446,,,,
4439,17715113,,,,
3146,17716844,,,,
2856,17717867,,,,
918,17718973,,,,
3727,17719713,,,,
2944,17723286,,,,
3338,17724395,,,,
835,17735309,,,,
2088,17736648,,,,
569,17745247,,,,
813,17747681,,,,
3336,17764333,,,,
3346,17766494,,,,
1976,17771185,,,,
2101,17778590,,,,
3742,17779130,,,,
1992,17786852,,,,
2555,17787755,,,,
259,17790267,,,,
3410,17798581,,,,
3162,17801328,,,,
2004,17802216,,,,
4441,17806016,,,,
522,17806582,,,,
2234,17808786,,,,
1937,17809657,,,,
3193,17811803,,,,
3877,17817340,,,,
